,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron
0,ABW,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,102.0,0.0,0.0,0.0
1,ABW,2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,1.0,0.0,2.0,0.0,0.0,37.0,101.0,0.0,0.0,0.0
2,ABW,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,0.0,0.0,7.0,0.0,0.0,65.0,36.0,0.0,0.0,0.0
3,ABW,2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,1.0,0.0,7.0,0.0,0.0,66.0,11.0,0.0,0.0,0.0
11,ABW,2021-04-05,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.0,,,,,11922.0,1133.0,1.057,67.59,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,1133.0,1.057,1278.0,11922.0,,0.0,6.0,0.0,0.0,9.0,0.0,0.0,74.0,3.0,0.0,0.0,0.0
25,ABW,2021-04-19,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58178.0,43266.0,14912.0,,2527.0,2158.0,54.27,40.36,13.91,,20132.0,1732.0,1.616,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,1732.0,1.616,2158.0,20132.0,2527.0,2.0,5.0,9.0,0.0,9.0,0.0,14.0,96.0,10.0,0.0,0.0,0.0
39,ABW,2021-05-03,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77728.0,54614.0,23114.0,,,624.0,72.51,50.95,21.56,,5821.0,196.0,0.183,60.19,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,196.0,0.183,624.0,5821.0,,0.0,1.0,14.0,0.0,27.0,0.0,2.0,86.0,8.0,1.0,1.0,0.0
53,ABW,2021-05-17,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91006.0,57936.0,33070.0,,,1341.0,84.9,54.05,30.85,,12510.0,275.0,0.257,51.85,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,275.0,0.257,1341.0,12510.0,,0.0,0.0,12.0,0.0,17.0,0.0,10.0,54.0,7.0,0.0,1.0,0.0
67,ABW,2021-05-31,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114154.0,63113.0,51041.0,,,628.0,106.49,58.88,47.62,,5858.0,224.0,0.209,48.15,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,224.0,0.209,628.0,5858.0,,0.0,0.0,25.0,0.0,9.0,0.0,0.0,52.0,14.0,0.0,7.0,0.0
81,ABW,2021-06-14,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121874.0,66185.0,55689.0,,,691.0,113.69,61.74,51.95,,6446.0,286.0,0.267,33.33,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,286.0,0.267,691.0,6446.0,,0.0,0.0,35.0,0.0,12.0,0.0,4.0,5.0,15.0,1.0,17.0,0.0
123,ABW,2021-07-26,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135988.0,72151.0,63837.0,,,211.0,126.86,67.31,59.55,,1968.0,106.0,0.099,28.7,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,106.0,0.099,211.0,1968.0,,0.0,0.0,2.0,0.0,0.0,0.0,84.0,1.0,0.0,0.0,10.0,0.0
137,ABW,2021-08-09,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139887.0,73125.0,66762.0,,,171.0,130.5,68.22,62.28,,1595.0,45.0,0.042,23.15,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,45.0,0.042,171.0,1595.0,,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,6.0,0.0
151,ABW,2021-08-23,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146254.0,77540.0,68714.0,,320.0,603.0,136.44,72.34,64.1,,5625.0,467.0,0.436,43.52,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,467.0,0.436,603.0,5625.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,518.0,0.0,0.0,0.0,6.0,0.0
165,ABW,2021-09-06,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149590.0,79209.0,70381.0,,,277.0,139.55,73.89,65.66,,2584.0,101.0,0.094,37.96,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,101.0,0.094,277.0,2584.0,,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,3.0,0.0
179,ABW,2021-09-20,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154700.0,80707.0,73993.0,,,215.0,144.32,75.29,69.03,,2006.0,52.0,0.049,19.91,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,52.0,0.049,215.0,2006.0,,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
193,ABW,2021-10-04,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156561.0,81514.0,75047.0,,,115.0,146.05,76.04,70.01,,1073.0,47.0,0.044,19.91,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,47.0,0.044,115.0,1073.0,,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0
207,ABW,2021-10-18,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158219.0,82107.0,76112.0,,,88.0,147.6,76.6,71.0,,821.0,30.0,0.028,44.44,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,30.0,0.028,88.0,821.0,,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
235,ABW,2021-11-15,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160659.0,83228.0,77431.0,,,80.0,149.88,77.64,72.23,,746.0,36.0,0.034,41.67,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,,36.0,0.034,80.0,746.0,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
1180,AGO,2020-12-21,Africa,Angola,16686.0,42.0,58.429,390.0,3.0,2.571,491.725,1.238,1.722,11.493,0.08800000000000001,0.076,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,,,,,,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0
1215,AGO,2021-01-25,Africa,Angola,19476.0,77.0,78.571,461.0,2.0,3.143,573.944,2.269,2.315,13.585,0.059,0.093,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,0.0,0.0,0.0
1229,AGO,2021-02-08,Africa,Angola,20112.0,26.0,40.429,475.0,0.0,1.286,592.687,0.7659999999999999,1.1909999999999998,13.998,0.0,0.038,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,0.0,0.0
1243,AGO,2021-02-22,Africa,Angola,20548.0,29.0,23.857,499.0,0.0,0.857,605.535,0.855,0.703,14.705,0.0,0.025,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,,,,,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0
1257,AGO,2021-03-08,Africa,Angola,21108.0,22.0,36.286,515.0,1.0,1.0,622.038,0.648,1.069,15.177,0.029,0.029,1.07,,,,,,,,,,,,,,,,,,6169.0,6169.0,,,,881.0,0.02,0.02,,,26.0,881.0,0.003,58.33,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,881.0,0.003,881.0,26.0,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,39.0,0.0,0.0,0.0
1271,AGO,2021-03-22,Africa,Angola,21757.0,24.0,50.0,530.0,3.0,1.286,641.164,0.7070000000000001,1.473,15.619000000000002,0.08800000000000001,0.038,1.15,,,,,,,,,,,,,,,,,,,,,,,5457.0,,,,,161.0,5457.0,0.016,56.48,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,5457.0,0.016,5457.0,161.0,,58.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,49.0,0.0,0.0,0.0
1285,AGO,2021-04-05,Africa,Angola,22717.0,86.0,83.571,543.0,1.0,1.286,669.454,2.5340000000000003,2.463,16.002,0.029,0.038,1.25,,,,,,,,,,,,,,,,,,,,,,,6354.0,,,,,187.0,6354.0,0.019,59.26,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,6354.0,0.019,6354.0,187.0,,44.0,0.0,1.0,4.0,0.0,7.0,0.0,32.0,49.0,0.0,0.0,0.0
1299,AGO,2021-04-19,Africa,Angola,24518.0,129.0,138.429,563.0,2.0,1.286,722.528,3.802,4.079,16.590999999999998,0.059,0.038,1.22,,,,,,,,,,,,,,,,,,395447.0,395447.0,,,,18751.0,1.17,1.17,,,553.0,18751.0,0.055,58.33,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,18751.0,0.055,18751.0,553.0,,29.0,0.0,0.0,1.0,0.0,2.0,2.0,21.0,28.0,0.0,0.0,0.0
1313,AGO,2021-05-03,Africa,Angola,27133.0,140.0,203.286,603.0,1.0,2.857,799.591,4.126,5.9910000000000005,17.77,0.029,0.084,1.16,,,,,,,,,,,,,,,,,,,,,,,8959.0,,,,,264.0,6844.0,0.02,58.33,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,6844.0,0.02,8959.0,264.0,,17.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0
1369,AGO,2021-06-28,Africa,Angola,38613.0,57.0,123.571,891.0,2.0,3.286,1137.898,1.68,3.642,26.257,0.059,0.097,0.92,,,,,,,,,,,,,,,,,,1488292.0,943301.0,544991.0,,,13570.0,4.39,2.78,1.61,,400.0,9462.0,0.028,56.94,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,9462.0,0.028,13570.0,400.0,,18.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,1.0,0.0,0.0,0.0
1383,AGO,2021-07-12,Africa,Angola,40055.0,97.0,107.857,939.0,4.0,3.429,1180.393,2.859,3.178,27.672,0.118,0.101,1.02,,,,,,,,,,,,,,,,,,1558201.0,958373.0,599828.0,,,6392.0,4.59,2.82,1.77,,188.0,943.0,0.003,56.94,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,943.0,0.003,6392.0,188.0,,12.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,2.0,0.0,0.0,0.0
1453,AGO,2021-09-20,Africa,Angola,52644.0,337.0,272.286,1409.0,21.0,9.143,1551.382,9.931,8.024,41.522,0.619,0.269,1.13,,,,,,,,,,,,,,,,,,,,,,,43994.0,,,,,1296.0,40829.0,0.12,63.89,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,40829.0,0.12,43994.0,1296.0,,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
1467,AGO,2021-10-04,Africa,Angola,58943.0,0.0,480.0,1577.0,0.0,9.143,1737.009,0.0,14.145,46.473,0.0,0.269,0.99,,,,,,,,,,,,,,,,,,,,,,,78378.0,,,,,2310.0,61359.0,0.181,62.5,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,61359.0,0.181,78378.0,2310.0,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
3225,ARE,2020-05-11,Asia,United Arab Emirates,18878.0,680.0,592.571,201.0,3.0,9.143,1889.485,68.061,59.31,20.118,0.3,0.915,1.18,,,,,,,,,34869.0,1476117.0,147.743,3.49,33197.0,3.323,0.018000000000000002,56.0,tests performed,,,,,,,,,,,,,,75.93,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0
3239,ARE,2020-05-25,Asia,United Arab Emirates,30307.0,822.0,873.857,248.0,3.0,3.429,3033.405,82.273,87.464,24.822,0.3,0.343,1.02,,,,,,,,,27540.0,2015512.0,201.731,2.756,38124.0,3.816,0.023,43.6,tests performed,,,,,,,,,,,,,,72.22,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,0.0,0.0,0.0
3267,ARE,2020-06-22,Asia,United Arab Emirates,45303.0,378.0,381.0,303.0,1.0,1.714,4534.343,37.834,38.134,30.327,0.1,0.172,0.91,,,,,,,,,44291.0,3157012.0,315.983,4.433,41142.0,4.118,0.009000000000000001,108.0,tests performed,,,,,,,,,,,,,,72.22,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0
3281,ARE,2020-07-06,Asia,United Arab Emirates,52068.0,528.0,546.0,324.0,1.0,1.429,5211.447,52.847,54.649,32.429,0.1,0.14300000000000002,1.06,,,,,,,,,51430.0,3890424.0,389.39,5.148,50542.0,5.059,0.011,92.6,tests performed,,,,,,,,,,,,,,56.48,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0
3337,ARE,2020-08-31,Asia,United Arab Emirates,70231.0,541.0,421.286,384.0,2.0,1.143,7029.368,54.148,42.166,38.434,0.2,0.114,1.27,,,,,,,,,82763.0,7094658.0,710.0989999999998,8.283999999999999,76282.0,7.635,0.006,181.1,tests performed,,,,,,,,,,,,,,54.63,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
3365,ARE,2020-09-28,Asia,United Arab Emirates,92095.0,626.0,928.571,413.0,1.0,1.143,9217.719,62.65600000000001,92.94,41.337,0.1,0.114,1.12,,,,,,,,,76888.0,9500699.0,950.918,7.6960000000000015,95499.0,9.558,0.01,102.8,tests performed,,,,,,,,,,,,,,54.63,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
3379,ARE,2020-10-12,Asia,United Arab Emirates,107293.0,1064.0,1080.0,446.0,1.0,2.4290000000000003,10738.876,106.495,108.096,44.64,0.1,0.243,1.12,,,,,,,,,78483.0,11016566.0,1102.64,7.855,114147.0,11.425,0.009000000000000001,105.7,tests performed,,,,,,,,,,,,,,54.63,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,0.0,0.0,0.0
3393,ARE,2020-10-26,Asia,United Arab Emirates,126234.0,1111.0,1388.1429999999998,480.0,3.0,2.0,12634.666,111.199,138.938,48.043,0.3,0.2,1.03,,,,,,,,,85093.0,12550780.0,1256.198,8.517000000000001,111475.0,11.157,0.012,80.3,tests performed,,,,,,,,,,,,,,54.63,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0
3421,ARE,2020-11-23,Asia,United Arab Emirates,160055.0,1065.0,1214.429,554.0,2.0,2.857,16019.785,106.595,121.551,55.449,0.2,0.28600000000000003,1.01,,,,,,,,,81558.0,15860093.0,1587.425,8.163,113790.0,11.389,0.011,93.7,tests performed,,,,,,,,,,,,,,49.07,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.0,0.0,0.0,0.0
3435,ARE,2020-12-07,Asia,United Arab Emirates,177577.0,1148.0,1245.286,594.0,2.0,3.143,17773.549,114.902,124.64,59.453,0.2,0.315,1.0,,,,,,,,,87635.0,17503360.0,1751.898,8.771,110803.0,11.09,0.011,89.0,tests performed,,,,,,,,,,,,,,49.07,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0
3449,ARE,2020-12-21,Asia,United Arab Emirates,194652.0,1077.0,1230.143,639.0,2.0,3.0,19482.573,107.796,123.124,63.957,0.2,0.3,1.02,,,,,,,,,94911.0,19461277.0,1947.865,9.5,134781.0,13.49,0.009000000000000001,109.6,tests performed,,,,,,,,,,,,,,49.07,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0
3463,ARE,2021-01-04,Asia,United Arab Emirates,214732.0,1501.0,1695.571,682.0,3.0,3.143,21492.365,150.234,169.708,68.26100000000001,0.3,0.315,1.27,,,,,,,,,116687.0,21430011.0,2144.914,11.679,141399.0,14.153,0.012,83.4,tests performed,,,,,,,,,,,,,,56.48,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,6.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,110.0,0.0,0.0,0.0
3470,ARE,2021-01-11,Asia,United Arab Emirates,232982.0,2404.0,2607.143,711.0,3.0,4.143,23318.994,240.615,260.947,71.163,0.3,0.415,1.32,,,,,,,,,133458.0,22543923.0,2256.404,13.358,159130.0,15.927,0.016,61.0,tests performed,1167251.0,,,,80683.0,56825.0,11.68,,,,5688.0,60087.0,0.601,56.48,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,60087.0,0.601,56825.0,5688.0,80683.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,46.0,0.0,0.0,0.0
3484,ARE,2021-01-25,Asia,United Arab Emirates,281546.0,3591.0,3544.857,798.0,6.0,6.714,28179.728,359.42,354.802,79.87100000000002,0.601,0.672,1.1,,,,,,,,,140477.0,24697532.0,2471.957000000001,14.06,164820.0,16.497,0.022,46.5,tests performed,2571086.0,,,,83302.0,85652.0,25.73,,,,8573.0,60087.0,0.601,62.04,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,60087.0,0.601,85652.0,8573.0,83302.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,58.0,0.0,0.0,0.0
3498,ARE,2021-02-08,Asia,United Arab Emirates,329293.0,2798.0,3279.143,930.0,9.0,10.143,32958.689,280.05,328.207,93.083,0.901,1.015,0.97,,,,,,,,,148587.0,27044459.0,2706.86,14.872,164595.0,16.474,0.02,50.2,tests performed,4413649.0,,,,99781.0,138982.0,44.18,,,,13911.0,60087.0,0.601,57.87,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,60087.0,0.601,138982.0,13911.0,99781.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,219.0,83.0,0.0,0.0,0.0
3929,ARG,2020-05-11,South America,Argentina,6278.0,244.0,198.71400000000003,314.0,9.0,7.713999999999999,137.658,5.35,4.357,6.885,0.197,0.16899999999999998,1.39,,,,,,,,,3679.0,106107.0,2.327,0.081,3617.0,0.079,0.08900000000000001,11.2,tests performed,,,,,,,,,,,,,,94.44,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0
3943,ARG,2020-05-25,South America,Argentina,12628.0,552.0,608.143,467.0,15.0,12.143,276.894,12.104,13.335,10.24,0.329,0.266,1.43,,,,,,,,,4169.0,169411.0,3.715,0.091,5117.0,0.112,0.145,6.9,tests performed,,,,,,,,,,,,,,90.74,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0
3957,ARG,2020-06-08,South America,Argentina,23620.0,826.0,886.429,693.0,29.0,19.571,517.9159999999998,18.112,19.437,15.195,0.636,0.429,1.3,,,,,,,,,6308.0,250158.0,5.485,0.138,6040.0,0.132,0.18600000000000005,5.4,tests performed,,,,,,,,,,,,,,88.89,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
3971,ARG,2020-06-22,South America,Argentina,44931.0,2146.0,1735.1429999999998,1043.0,32.0,27.0,985.203,47.055,38.047,22.87,0.7020000000000001,0.5920000000000001,1.33,,,,,,,,,9518.0,367227.0,8.052,0.209,9228.0,0.202,0.249,4.0,tests performed,,,,,,,,,,,,,,88.89,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
3985,ARG,2020-07-06,South America,Argentina,80447.0,2632.0,2597.0,1582.0,75.0,43.143,1763.963,57.712,56.944,34.689,1.645,0.946,1.2,,,,,,,,,10618.0,517309.0,11.343,0.233,10921.0,0.239,0.295,3.4,tests performed,,,,,,,,,,,,,,92.59,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0
3999,ARG,2020-07-20,South America,Argentina,130774.0,4019.0,3929.857,2373.0,113.0,67.143,2867.485,88.125,86.17,52.033,2.478,1.472,1.23,,,,,,,,,14705.0,702764.0,15.41,0.322,14446.0,0.317,0.324,3.1,tests performed,,,,,,,,,,,,,,90.74,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0
4013,ARG,2020-08-03,South America,Argentina,206743.0,4824.0,5618.143,3813.0,165.0,107.714,4533.259,105.776,123.189,83.60799999999998,3.618,2.362,1.14,,,,,,,,,18320.0,946667.0,20.758000000000006,0.402,18320.0,0.402,0.34700000000000003,2.9,tests performed,,,,,,,,,,,,,,88.89,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
4027,ARG,2020-08-17,South America,Argentina,299126.0,4557.0,6465.429,5814.0,111.0,150.0,6558.943,99.921,141.768,127.484,2.434,3.289,1.07,,,,,,,,,16493.0,1242081.0,27.235,0.362,21400.0,0.469,0.314,3.2,tests performed,,,,,,,,,,,,,,87.96,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0
